"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
716.65, 34.85, -Inf, 38.18, 0.13, NA, NA, 3.33, Inf, 15.75, NA, 20, "all", 100, 565.786117246233, 0.127240308850571, 20, 36.927533808255, 565.786117246233, 563.504903676754, 568.261219214708, 0.12142217509653, 0.134623667519755, 0.0032887709769146, 1.21387098627155, 7
588.37, 34.66, -Inf, 38.12, 0.09, NA, NA, 3.46, Inf, 20.89, NA, 20, "all", 200, 497.996061534185, 0.0909199965276377, 20, 36.8720826812223, 497.996061534185, 495.114342840576, 500.843347186691, 0.0846672369053899, 0.0981131289296644, 0.00335883172187788, 1.42650693603927, 7
784.38, 34.84, -Inf, 38.02, 0.19, NA, NA, 3.17, Inf, 11.26, NA, 25, "all", 50, 551.829226387038, 0.189366689575185, 20, 36.7566531371083, 625.725338939622, 547.708344581436, 555.824410433221, 0.181860039657385, 0.200571879663236, 0.0048622876477511, 2.13341815653144, 7
712.57, 35, -Inf, 38.23, 0.17, NA, NA, 3.23, Inf, 12.63, NA, 25, "all", 100, 521.221261921839, 0.166698920569302, 20, 36.9658318557336, 582.194220372962, 518.845624006975, 524.610595126555, 0.159688500901946, 0.174316152911898, 0.00376825824319064, 1.52476013435773, 7
663.52, 34.85, -Inf, 38.15, 0.14, NA, NA, 3.3, Inf, 14.91, NA, 25, "all", 200, 515.703579139231, 0.135681937510799, 20, 36.8994093094503, 564.29504088895, 512.60881776459, 519.238731797308, 0.129568052348705, 0.144913045652005, 0.00389044630803172, 1.68028075446489, 7
732.46, 28.83, -Inf, 31.96, 0.15, 9.18, NA, 3.14, Inf, 13.08, -9.03, 15, "all", 50, 619.599647488787, 0.151199182900064, 20, 30.7572732106768, 558.496375230066, 615.091083644582, 623.759153212801, 0.141194196558131, 0.160007181020321, 0.00482603865688191, 2.13093624943039, 8
710.67, 34.87, -Inf, 38.19, 0.13, NA, NA, 3.32, Inf, 15.38, NA, 15, "all", 100, 557.036165602119, 0.130951109968646, 20, 36.9356349254561, 509.132703471334, 555.255031401516, 559.344797065714, 0.126742218622342, 0.13579932662808, 0.00234290423174121, 1.05829507105882, 8
605.43, 34.78, -Inf, 38.23, 0.09, NA, NA, 3.45, Inf, 20.46, NA, 15, "all", 200, 509.348741298077, 0.093470328748296, 20, 36.9823874844379, 477.683678729707, 506.540060821441, 512.206575690808, 0.0876389205088025, 0.100089144285544, 0.00329125651791712, 1.46174253087743, 8
728.08, 34.83, -Inf, 38.11, 0.14, NA, NA, 3.28, Inf, 14.17, NA, 20, "all", 50, 557.380533726251, 0.143981668149081, 20, 36.8584932430312, 557.380533726251, 552.126916194723, 562.963491916948, 0.134612491063266, 0.156292726788281, 0.00586944310594269, 2.80331946822356, 8
708.35, 34.87, -Inf, 38.2, 0.13, NA, NA, 3.34, Inf, 15.9, NA, 20, "all", 100, 560.47080330261, 0.125909675360509, 20, 36.9491696608566, 560.47080330261, 558.35036111453, 562.75571621878, 0.120545643334397, 0.13177328800323, 0.00287467054464972, 1.14146898967984, 8
582.6, 34.67, -Inf, 38.13, 0.09, NA, NA, 3.47, Inf, 21.16, NA, 20, "all", 200, 494.229316102011, 0.0896162949590676, 20, 36.8903126462522, 494.229316102011, 491.805228985066, 496.796781441611, 0.0834609039065849, 0.0961289437578691, 0.00325076218101264, 1.34582936602552, 8
773.55, 34.85, -Inf, 38.03, 0.19, NA, NA, 3.18, Inf, 11.35, NA, 25, "all", 50, 545.909022428372, 0.187610982324749, 20, 36.7672473980525, 618.291517399568, 542.276634250813, 549.963541984679, 0.180079342438388, 0.198397651453278, 0.00469064073528889, 2.0012806551239, 8
706.02, 35.01, -Inf, 38.24, 0.17, NA, NA, 3.23, Inf, 12.67, NA, 25, "all", 100, 516.663667748912, 0.16628636599458, 20, 36.9828958978269, 576.945490297665, 514.251329053637, 519.840093841393, 0.159625673028372, 0.17325941553123, 0.00361179952327204, 1.38028510306744, 8
657.12, 34.87, -Inf, 38.17, 0.14, NA, NA, 3.3, Inf, 14.9, NA, 25, "all", 200, 510.335720769359, 0.135895791470148, 20, 36.921800263447, 558.500662361933, 507.51128540288, 513.81407392034, 0.128285903977849, 0.144478568106397, 0.0041109515192641, 1.57940878407985, 8
722.02, 28.81, -Inf, 31.96, 0.15, 9.18, NA, 3.14, Inf, 13.36, -9.04, 15, "all", 50, 613.622039051593, 0.147288196742795, 20, 30.7501489009837, 554.595683778035, 609.925792293136, 617.772037939326, 0.137789201309939, 0.156246308561156, 0.00469471167961712, 2.05893016643473, 9
698.87, 34.88, -Inf, 38.21, 0.13, NA, NA, 3.33, Inf, 15.75, NA, 15, "all", 100, 551.384740814554, 0.127371432843884, 20, 36.9546403335303, 505.207606058813, 549.601533992133, 553.665789795971, 0.123277256089844, 0.132638834243737, 0.00237439351574708, 1.0099596463735, 9
600.34, 34.79, -Inf, 38.24, 0.09, NA, NA, 3.45, Inf, 20.48, NA, 15, "all", 200, 505.05481302829, 0.0933941314712821, 20, 36.9974352347254, 473.681478143254, 502.328723445487, 507.982594165432, 0.0873208864828828, 0.100026107057649, 0.00325529810661586, 1.47423242089322, 9
718.2, 34.85, -Inf, 38.13, 0.14, NA, NA, 3.28, Inf, 14.26, NA, 20, "all", 50, 550.717082811223, 0.142937055153812, 20, 36.8789162164895, 550.717082811223, 546.227998974654, 556.437113528465, 0.134116334697128, 0.156146301644448, 0.00570518911744533, 2.58539598618473, 9
700.01, 34.88, -Inf, 38.22, 0.12, NA, NA, 3.34, Inf, 16.14, NA, 20, "all", 100, 555.948969808444, 0.123796112105937, 20, 36.9685432331138, 555.948969808444, 554.155149808867, 558.14140898009, 0.118526356232686, 0.129868156312137, 0.00291891544530601, 1.05101875469645, 9
577.8, 34.68, -Inf, 38.15, 0.09, NA, NA, 3.47, Inf, 21.36, NA, 20, "all", 200, 490.954252935235, 0.0886412950596273, 20, 36.9104942964336, 490.954252935235, 488.54801624316, 493.746581816025, 0.0827703524848917, 0.0950409761345034, 0.00312378126942284, 1.32980421241154, 9
764.6, 34.86, -Inf, 38.04, 0.19, NA, NA, 3.18, Inf, 11.42, NA, 25, "all", 50, 540.818067168223, 0.186283824154536, 20, 36.779075384204, 611.986294111283, 537.644504741543, 544.819178775051, 0.178918674520788, 0.19639304639867, 0.00446743962811783, 1.86050733861915, 9
698.34, 35.03, -Inf, 38.26, 0.17, NA, NA, 3.23, Inf, 12.74, NA, 25, "all", 100, 511.728754133322, 0.165399154534784, 20, 37.0015382073792, 571.098435050307, 509.384545251843, 514.757968685427, 0.159235423897535, 0.172808199984816, 0.00335777617113593, 1.36818598143773, 9
651.33, 34.89, -Inf, 38.2, 0.14, NA, NA, 3.3, Inf, 14.91, NA, 25, "all", 200, 505.577939386289, 0.135985243838283, 20, 36.9430040213199, 553.326693859623, 502.880754475512, 508.894428170087, 0.12845689163346, 0.145130199144729, 0.00407147633445993, 1.50249789455549, 9
712.22, 28.79, -Inf, 31.94, 0.14, 9.19, NA, 3.15, Inf, 13.55, -9.04, 15, "all", 50, 607.28693740052, 0.14467511813231, 20, 30.7350932001372, 549.855724637543, 603.313492030916, 611.199363329718, 0.13588861803031, 0.153270246751094, 0.00446607297139792, 2.01778092803263, 10
688.64, 34.88, -Inf, 38.22, 0.12, NA, NA, 3.34, Inf, 16.03, NA, 15, "all", 100, 545.836046293078, 0.124822777838851, 20, 36.969907324634, 500.999638761045, 544.15154849215, 547.798156243894, 0.120615747534448, 0.129569295362389, 0.00226553777164128, 0.941808414708011, 10
