"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
941.6, 29.02, -30.41, 47.84, 0.29, 0.69, NA, 18.82, 78.25, 13.27, -0.39, 15, "all", 50, 730.19740293647, 0.333580663689728, 2.56047292846643, 34.9655651396266, 579.981713523651, 721.766715191625, 738.474677972234, 0.317073503774159, 0.350166043516925, 0.00853118344494936, 4.31956279289884, 11
1021.45, 30.78, -Inf, 46.63, 0.23, 0.8, NA, 15.85, Inf, 14.18, -0.57, 15, "all", 100, 778.514350141904, 0.252995953549239, 3.15543917633813, 37.0662049895226, 654.283830198542, 768.112680391314, 787.542333269109, 0.235865968179058, 0.27048571318858, 0.00869681728200411, 4.86766690903633, 11
848.77, 29.82, -34.66, 46.28, 0.26, 0.68, NA, 16.46, 80.94, 13.17, -0.42, 15, "all", 200, 642.88227928601, 0.299669213801903, 2.96678718345434, 35.7628322143316, 523.145032174104, 634.955073405206, 651.8749196054, 0.277499604512514, 0.321771528563294, 0.0111955236964795, 4.41755461564203, 11
737.39, 32.39, -28.04, 45.05, 0.28, 1.02, NA, 12.65, 73.09, 11.27, -0.73, 20, "all", 50, 474.139961357481, 0.329488135405462, 3.93921242328564, 37.365437489862, 474.062394806569, 453.580226897564, 498.396763261177, 0.280273427359693, 0.384836381016232, 0.0267284762551233, 11.5567598406583, 11
854.05, 31.5, -32.38, 44.66, 0.29, 0.84, NA, 13.16, 77.04, 11.93, -0.55, 20, "all", 100, 589.007908555404, 0.305020454053424, 3.78396720198602, 36.7333646579522, 588.826661749736, 574.314563489336, 603.958948685096, 0.278033666387216, 0.336747760832127, 0.0150409937167411, 7.46545089150919, 11
750.58, 30.98, -30.02, 46.39, 0.28, 0.88, NA, 15.4, 76.4, 12.32, -0.59, 20, "all", 200, 525.824258374597, 0.324256121647669, 3.18192391530295, 36.5349414917664, 525.192609792537, 520.055115955199, 531.260303729333, 0.309586559594156, 0.340819307714418, 0.00804432923556715, 2.85957194966612, 11
865.67, 32.07, -Inf, 44.21, 0.2, 0.78, NA, 12.14, Inf, 14.51, -0.58, 25, "all", 50, 660.69297206945, 0.203297515804968, 4.34414342671202, 37.7450301545431, 755.386164652003, 646.461748946392, 675.41438731454, 0.177023274041323, 0.230151591911382, 0.0133461915685241, 7.20122083781112, 11
896.48, 31.65, -35.05, 45.82, 0.27, 0.79, NA, 14.17, 80.87, 12.65, -0.52, 25, "all", 100, 630.685198073292, 0.28910964096927, 3.52272972907291, 37.2399003522421, 760.663179301864, 620.872129455895, 638.839516267135, 0.273528415394187, 0.306880667159927, 0.00856346559544388, 4.35935206636326, 11
831.9, 33.51, -Inf, 44.9, 0.21, 1.04, NA, 11.38, Inf, 13.37, -0.83, 25, "all", 200, 587.809613231737, 0.228127268364809, 4.64040366032308, 38.7733930111092, 683.655897132098, 578.956234565286, 596.421750437475, 0.214337799367221, 0.242233745001203, 0.0073371533309726, 4.380474887894, 11
936.7, 29.01, -30.56, 47.75, 0.3, 0.69, NA, 18.74, 78.31, 13.26, -0.4, 15, "all", 50, 726.667784287316, 0.332412249449441, 2.57196832666587, 34.9630966534548, 577.662340316094, 718.55006282291, 734.630290844358, 0.316436916194448, 0.349346491305049, 0.0083220075373244, 4.176555017834, 12
