current_date,starting_date,name,current_count,starting_count,previous_count,cultured_at_start_ml,volume_at_start_ml,culture_time_days,growth_rate_gen_per_day
2021-03-22,2021-03-15,25_50_A,182500,65.35294118,3333,0.25,12.75,7.0000,1.6353
2021-03-22,2021-03-15,25_50_B,202500,65.35294118,3333,0.25,12.75,7.0000,1.6568
2021-03-22,2021-03-15,25_50_C,407500,261.4313725,13333,0.25,12.75,7.0000,1.5152
2021-03-22,2021-03-15,25_50_D,600000,1633.980392,83333,0.25,12.75,7.0000,1.2172
2021-03-23,2021-03-22,25_50_A,26700,3578.431373,182500,0.25,12.75,1.0000,2.8994
2021-03-23,2021-03-22,25_50_B,12000,3970.588235,202500,0.25,12.75,1.0000,1.5956
2021-03-23,2021-03-22,25_50_C,30000,7990.196078,407500,0.25,12.75,1.0000,1.9087
2021-03-23,2021-03-22,25_50_D,25000,11764.70588,600000,0.25,12.75,1.0000,1.0875
2021-03-24,2021-03-23,25_50_A,5000,827.9069767,26700,0.4,12.9,1.0000,2.5944
2021-03-24,2021-03-23,25_50_B,2500,372.0930233,12000,0.4,12.9,1.0000,2.7482
2021-03-24,2021-03-23,25_50_C,12500,703.125,30000,0.3,12.8,1.0000,4.1520
2021-03-24,2021-03-23,25_50_D,10000,585.9375,25000,0.3,12.8,1.0000,4.0931
2021-03-26,2021-03-24,25_50_A,3333,155.0387597,5000,0.4,12.9,2.0000,2.2131
2021-03-26,2021-03-24,25_50_B,1700,77.51937984,2500,0.4,12.9,2.0000,2.2274
2021-03-26,2021-03-24,25_50_C,4200,292.96875,12500,0.3,12.8,2.0000,1.9208
2021-03-26,2021-03-24,25_50_D,5900,234.375,10000,0.3,12.8,2.0000,2.3269
2021-03-29,2021-03-26,25_50_A,56666,128.1923077,3333,0.5,13,3.0000,2.9293
2021-03-29,2021-03-26,25_50_B,30000,65.38461538,1700,0.5,13,3.0000,2.9473
2021-03-29,2021-03-26,25_50_C,15000,161.5384615,4200,0.5,13,3.0000,2.1790
2021-03-29,2021-03-26,25_50_D,10000,226.9230769,5900,0.5,13,3.0000,1.8206
2021-03-31,2021-03-29,25_50_A,8000,4358.923077,56666,1,13,2.0000,0.4380
2021-03-31,2021-03-29,25_50_B,10000,2307.692308,30000,1,13,2.0000,1.0577
2021-03-31,2021-03-29,25_50_C,2000,1153.846154,15000,1,13,2.0000,0.3968
2021-03-31,2021-03-29,25_50_D,6000,769.2307692,10000,1,13,2.0000,1.4817
2021-04-09,2021-04-07,25_50_A,8000,118.8118812,12000,0.1,10.1,2.0000,3.0366
2021-04-09,2021-04-07,25_50_B,4000,133.6633663,13500,0.1,10.1,2.0000,2.4517
2021-04-09,2021-04-07,25_50_C,44444,363.029703,36666,0.1,10.1,2.0000,3.4679
2021-04-09,2021-04-07,25_50_D,80000,643.5643564,65000,0.1,10.1,2.0000,3.4789
2021-03-12,2021-03-10,25_100_A,5000,39.68253968,5000, 0.1 , 12.6 ,2.0000,3.4886
2021-03-12,2021-03-10,25_100_B,1700,39.68253968,5000, 0.1 , 12.6 ,2.0000,2.7104
2021-03-12,2021-03-10,25_100_C,215000,771.4285714,97200, 0.1 , 12.6 ,2.0000,4.0613
